source_id,verified_pdf,entry_sheet,bibtex_key,title,year,domain_theme,task,modality,method_or_contribution,dataset_or_evaluation_context,reported_metrics_or_findings,limitations,tbs_relevance,supporting_pdf_pages,pdf_extraction_note
060,60_Multimodal Token Fusion.pdf,060 - 2022 - Multimodal Token Fusion - Segmentasi RGB-D.md,wang2022tokenfusion,Multimodal Token Fusion for Vision Transformers,2022,Segmentasi RGB-D,Segmentation / salient-object perception,RGB-D / depth-aware,"Gagasan inti TokenFusion: jangan menambah token, melainkan memakai kembali slot token yang tidak informatif. Setiap lapis transformer dilengkapi penilaian skor yang menandai token-token berkontribusi kecil; token yang tertandai kemudian diganti oleh token dari modalitas pasangan pada posisi yang bersesuaian, sedangkan token penting dibiarkan utuh. Dengan cara ini, relasi atensi antar token penting dalam satu modal tidak berubah, dan informasi antar-modal...","Evaluasi mencakup tiga tugas dengan tujuh modalitas pada empat dataset. Metrik utama segmentasi adalah mIoU (*mean Intersection over Union*: rata-rata rasio irisan terhadap gabungan antara piksel prediksi dan kebenaran, dihitung per kelas; maksimal 100%). **Segmentasi RGB-D.** Pada NYUDv2 (795 citra latih, 654 uji, 40 kelas) dengan *backbone* SegFormer ringan: model satu modal RGB saja memperoleh 49,7% mIoU (versi kecil) dan 50,6% (versi besar); fusi peny...","Kutip dengan kunci `wang2022tokenfusion`. Ringkasan yang aman dikutip: ""TokenFusion memadukan beberapa *vision transformer* satu modal dengan mendeteksi token tak informatif lewat skor terlatih, menggantinya dengan token modalitas lain pada posisi bersesuaian, dan mempertahankan embedding posisi asli melalui *residual positional alignment*; metode ini melampaui fusi berbasis CNN pada segmentasi RGB-D (54,2% mIoU di NYUDv2) serta pada deteksi objek 3D (64,...","Kelebihan utama adalah generalitas: satu mekanisme berlaku untuk modalitas homogen maupun heterogen pada tiga tugas, tanpa merancang ulang arsitektur dasar. Struktur transformer satu modal praktis utuh sehingga bobot pralatih ImageNet terwarisi, jumlah token konstan sehingga biaya atensi tidak bertambah, dan berbagi parameter menekan ukuran model. Keterbatasannya sebagai berikut. Ambang θ dan bobot λ disetel berbeda per tugas (10⁻³ versus 10⁻⁴), sehingga...","Transferable evidence for depth reliability, fusion, geometry, or de-duplication; requires TBS field validation.","1, 2",12 PDF pages; automatic locator scanned first 10
061,61_DFormer.pdf,061 - 2024 - DFormer - Segmentasi RGB-D.md,yin2024dformer,DFormer: Rethinking RGBD Representation Learning for Semantic Segmentation,2024,Segmentasi RGB-D,Segmentation / salient-object perception,RGB-D / depth-aware,"Gagasan inti DFormer dapat dinyatakan dalam satu kalimat: pindahkan fusi RGB-D dari tahap penalaan ke tahap pra-pelatihan. Secara mekanis, backbone dirancang sejak awal menerima dua masukan — citra RGB dan peta kedalaman — dan setiap blok penyusunnya memuat mekanisme interaksi antarmodalitas. Backbone ini dipra-latih pada ImageNet-1K dengan tugas klasifikasi citra, sama seperti backbone RGB biasa, tetapi setiap citra dilengkapi peta kedalaman yang dipredi...","Uji utama dilakukan pada dua tugas. Pertama, segmentasi semantik RGB-D pada NYUDepthv2 (adegan dalam ruang, input 480×640) dan SUN-RGBD (input 530×730), dengan metrik mIoU. Kedua, deteksi objek menonjol RGB-D pada lima dataset (DES, NLPR, NJU2K, STERE, SIP) dengan metrik S-measure, MAE, F-measure, dan E-measure. Hasil utama pada NYUDepthv2: DFormer-L mencapai 57,2% mIoU dengan 39,0M parameter dan 65,7G FLOPs. Pembanding terkuat saat itu, CMNext (MiT-B4),...","Kunci BibTeX: `yin2024dformer`. Ringkasan aman kutip: DFormer (ICLR 2024) adalah kerangka pra-pelatihan RGB-D yang melatih backbone pada pasangan citra-kedalaman ImageNet-1K — kedalaman dihasilkan oleh estimator AdaBins — dengan blok RGB-D berisi modul GAA dan LEA. Model ini mencapai 57,2% mIoU pada NYUDepthv2 (DFormer-L, 39,0M parameter, 65,7G FLOPs) dan 52,5% pada SUN-RGBD, dengan dekoder ringan yang hanya membaca fitur RGB. Catatan verifikasi: seluruh...","Kelebihan utama DFormer adalah pergeseran paradigma yang terukur: fusi sejak pra-pelatihan menghapus ketidakcocokan distribusi representasi, memangkas kebutuhan dua backbone penuh, dan menyederhanakan dekoder menjadi hanya pembaca fitur RGB. Rasio kanal kedalaman 1/2 dan *query* GAA yang di-*pooling* tetap menjaga biaya komputasi, sehingga kurva akurasi-terhadap-biaya berada di atas seluruh pembanding pada kedua dataset segmentasi. Generalisasi ke modalit...","Transferable evidence for depth reliability, fusion, geometry, or de-duplication; requires TBS field validation.","1, 2",24 PDF pages; automatic locator scanned first 10
062,62_Depth dari Citra Tunggal (Eigen dkk.).pdf,062 - 2014 - Depth dari Citra Tunggal (Eigen dkk.) - Estimasi Kedalaman.md,eigen2014depth,Depth Map Prediction from a Single Image Using a Multi-Scale Deep Network,2014,Estimasi Kedalaman,Depth estimation or depth-aware perception,RGB-D / depth-aware,"Gagasan intinya: pecah prediksi kedalaman menjadi dua tahap oleh dua jaringan, dan latih keduanya dengan galat yang mengukur relasi kedalaman, bukan nilai absolutnya. Jaringan skala kasar melihat seluruh citra dan mengeluarkan peta beresolusi rendah yang menangkap tata letak pemandangan. Jaringan skala halus menerima peta kasar itu dan menyuntingnya dengan detail lokal dari citra asli agar batas objek menjadi tajam. Karena skala global pemandangan memang...","Evaluasi memakai metrik baku: *rel* (rata-rata |y − y*| / y* per piksel; makin kecil makin baik), RMSE (*root mean square error*), dan akurasi ambang δ < 1,25 pangkat i (persentase piksel dengan maks(y/y*, y*/y) di bawah 1,25 pangkat i; makin besar makin baik). Pembandingnya adalah rata-rata data, Make3D yang dilatih ulang pada dataset yang sama, serta angka terbit Karsch dkk. dan Ladický dkk. Pada NYU Depth v2, model penuh mencapai rel 0,215 dan RMSE 0,8...","Kutip dengan kunci `eigen2014depth`. Ringkasan yang aman dikutip: ""Eigen, Puhrsch, dan Fergus (NIPS 2014) adalah yang pertama memprediksi peta kedalaman padat dari satu citra RGB dengan CNN, melalui dua jaringan berskala global-kasar dan lokal-halus serta galat invarian-skala; metode ini menjadi yang terbaik pada NYU Depth v2 dan KITTI dengan perbaikan relatif rata-rata 35% dan 31% terhadap pesaing terdekat."" Catatan verifikasi: angka tabel spesifik (NYU:...","Kelebihan makalah ini: (1) mempelopori regresi kedalaman padat *end-to-end* (dari masukan ke keluaran tanpa tahap terpisah) dengan CNN, tanpa fitur manual, *superpixel*, maupun pasca-pemrosesan; (2) pembagian global–lokal menangkap isyarat seluruh citra dan tepi tajam bersama; (3) galat invarian-skala menilai dan melatih relasi kedalaman tanpa terjebak ambiguitas skala; (4) model hanya menyimpan parameter jaringan dan dapat berjalan *real-time*; (5) mampu...","Transferable evidence for depth reliability, fusion, geometry, or de-duplication; requires TBS field validation.","1, 2",9 PDF pages; automatic locator scanned first 9
063,63_Monodepth (Left-Right Consistency).pdf,063 - 2017 - Monodepth (Left-Right Consistency) - Estimasi Kedalaman.md,godard2017monodepth,Unsupervised Monocular Depth Estimation with Left-Right Consistency,2017,Estimasi Kedalaman,Depth estimation or depth-aware perception,RGB-D / depth-aware,"Gagasan intinya adalah mengubah prediksi kedalaman menjadi rekonstruksi citra. Jika sebuah fungsi mampu membangkitkan citra pandangan kanan dari citra pandangan kiri, fungsi itu harus memuat pengetahuan tentang geometri tiga dimensi pemandangan. Geometri tersebut diwujudkan sebagai peta disparitas: besaran pergeseran horizontal setiap piksel antara dua citra stereo yang telah direktifikasi (diluruskan sehingga titik yang sama terletak pada baris piksel ya...","Evaluasi utama memakai dataset KITTI (42.382 pasangan stereo dari 61 adegan; citra tipikal 1242×375 piksel) dengan dua pemisahan: Eigen (697 citra uji; 22.600 citra latih; acuan proyeksi LiDAR) dan KITTI (200 citra uji; 29.000 citra latih). Metriknya: AbsRel (rata-rata |prediksi − acuan|/acuan), RMSE (akar rata-rata kuadrat galat), δ < 1,25 (persentase piksel dengan simpangan di bawah 25% dari acuan), dan D1-all (persentase piksel bergalat disparitas besa...","Kutip dengan kunci `godard2017monodepth`. Ringkasan yang aman dikutip: ""Godard dkk. (CVPR 2017) melatih estimasi kedalaman monokular tanpa label kedalaman melalui rekonstruksi citra stereo dengan *bilinear sampling* yang terdiferensialkan dan rugi konsistensi kiri–kanan; pada KITTI, model ini mengungguli metode terawasi pembanding masanya (AbsRel 0,114 versus 0,203) dengan inferensi lebih dari 28 bingkai per detik."" Catatan verifikasi: angka diambil dari...","Kelebihan: (1) pelatihan tanpa label kedalaman — bahan latihnya pasangan video stereo yang lebih mudah diperoleh daripada rekaman LiDAR; (2) model pembentuk citra sepenuhnya terdiferensialkan, tanpa aproksimasi rugi; (3) konsistensi kiri–kanan menaikkan akurasi dan membersihkan artefak tepi tanpa komponen tambahan saat inferensi; (4) inferensi cepat, lebih dari 28 bingkai per detik. Keterbatasan yang diakui penulis: (1) artefak tetap muncul pada batas okl...","Transferable evidence for depth reliability, fusion, geometry, or de-duplication; requires TBS field validation.","1, 2",14 PDF pages; automatic locator scanned first 10
064,64_Monodepth2.pdf,064 - 2019 - Monodepth2 - Estimasi Kedalaman.md,godard2019monodepth2,Digging into Self-Supervised Monocular Depth Estimation,2019,Estimasi Kedalaman,Depth estimation or depth-aware perception,RGB-D / depth-aware,"Gagasan inti Monodepth2 adalah memperbaiki cara galat rekonstruksi dihitung, bukan memperbesar model. Masukannya satu citra target I(t) dan satu atau lebih citra sumber; keluarannya kedalaman per piksel D(t). Tiga perubahan diperkenalkan. Pertama, galat fotometrik tidak lagi **dirata-ratakan** antar-sumber, melainkan diambil **nilai minimumnya** per piksel: piksel yang teroklusi di satu sumber cukup dicocokkan ke sumber tempat ia memang terlihat, sehingga...","Evaluasi utama memakai dataset KITTI dengan pembagian Eigen (pembelah data dari bab 062). Setelah penyaringan *frame* statis ala Zhou dkk., tersedia 39.810 triplet monokular untuk pelatihan dan 4.424 untuk validasi. Kedalaman dibatasi maksimum 80 meter sesuai praktik standar. Metrik yang dilaporkan: AbsRel (galat relatif absolut, rata-rata |prediksi − benar|/benar; makin kecil makin baik), RMSE (akar kuadrat galat rata-rata, sensitif pada galat besar), da...","Kutip dengan kunci `godard2019monodepth2`. Ringkasan yang aman dikutip: ""Monodepth2 (Godard dkk., ICCV 2019) menunjukkan bahwa tiga perbaikan pada loss pelatihan swa-awas — reproyeksi minimum per piksel, *auto-masking* piksel stasioner, dan multi-skala resolusi penuh — cukup untuk melampaui seluruh metode swa-awas sebelumnya pada KITTI (AbsRel 0,115, monokular murni tanpa label kedalaman)."" Angka hasil pada bab ini diverifikasi dari naskah (tabel ablasi)...","Kelebihannya adalah perbandingan biaya-manfaat: tiga kontribusi tidak menambah komponen terlatih baru dan murah dihitung, dengan sumbangan masing-masing terbukti pada ablasi. Model dapat dilatih dari video monokular biasa, stereo, atau keduanya, dan arsitekturnya (ResNet18) jauh lebih ringan daripada enkoder ResNet50/DispNet metode sebelumnya. Ketersediaan kode resmi membuatnya mudah direproduksi. Keterbatasan tetap ada. Pertama, kedalaman monokular murni...","Transferable evidence for depth reliability, fusion, geometry, or de-duplication; requires TBS field validation.","1, 2",18 PDF pages; automatic locator scanned first 10
065,65_BTS (Local Planar Guidance).pdf,065 - 2019 - BTS (Local Planar Guidance) - Estimasi Kedalaman.md,lee2019bts,From Big to Small: Multi-Scale Local Planar Guidance for Monocular Depth Estimation,2019,Estimasi Kedalaman,Depth estimation or depth-aware perception,RGB-D / depth-aware,"Gagasan inti BTS: satu sel fitur pada resolusi H/k tidak di-*upsampling* secara buta, melainkan dipakai untuk memprediksi empat koefisien sebuah bidang datar dalam ruang tiga dimensi. Bidang ini kemudian dipakai untuk menghitung nilai kedalaman setiap piksel di dalam petak k×k pada resolusi penuh, melalui perpotongan sinar kamera dengan bidang tersebut. Asumsinya sederhana: dalam wilayah kecil k×k piksel, permukaan adegan cukup baik didekati oleh sebuah b...","Evaluasi dilakukan pada dua tolok ukur standar. NYU Depth V2 memuat citra dalam-ruang 480×640 dari sensor Kinect; BTS memakai 24.231 pasangan citra-kedalaman untuk latih dan 654 citra untuk uji. KITTI memuat adegan berkendara luar-ruang; pembagian Eigen memakai 23.488 citra latih dan 697 citra uji. Metrik yang dipakai: AbsRel (rata-rata galat relatif |d̃−d|/d, makin kecil makin baik), RMSE (akar rataan kuadrat galat dalam meter), dan δ < 1,25 (persentase...","Kunci BibTeX: `lee2019bts`. Ringkasan yang aman dikutip: Lee dkk. (2019) mengusulkan BTS, jaringan estimasi kedalaman monokular tersupervisi dengan lapisan *Local Planar Guidance* pada tiga tahap dekoder, yang memprediksi koefisien bidang datar lokal untuk memandu pemulihan resolusi penuh. Metode ini melaporkan hasil state-of-the-art pada NYU Depth V2 dan KITTI saat dirilis, dengan penambahan parameter hanya sekitar 0,1 juta untuk lapisan LPG. Catatan ver...","Kelebihan utama BTS adalah hubungan eksplisit antara fitur internal dan keluaran resolusi penuh: empat koefisien bidang per petak menggantikan k² nilai yang harus dipelajari *upconv* biasa, sehingga batas objek dan permukaan miring terrekonstruksi lebih tajam dengan biaya parameter yang hampir tidak bertambah. Desainnya juga modular — LPG dapat dipasang di atas beragam *backbone* — dan didukung kode resmi yang terbuka. Keterbatasan pertama bersifat data:...","Transferable evidence for depth reliability, fusion, geometry, or de-duplication; requires TBS field validation.","1, 2",11 PDF pages; automatic locator scanned first 10
066,66_AdaBins.pdf,066 - 2021 - AdaBins - Estimasi Kedalaman.md,bhat2021adabins,AdaBins: Depth Estimation Using Adaptive Bins,2021,Estimasi Kedalaman,Depth estimation or depth-aware perception,RGB-D / depth-aware,"AdaBins memperbaiki skema bin melalui tiga perubahan. Pertama, lebar bin tidak ditetapkan di muka dan tidak pula satu pembagian untuk seluruh dataset, melainkan dihitung ulang untuk setiap citra oleh modul *Transformer* yang membaca fitur seluruh adegan — jaringan sendiri yang memutuskan bagian rentang kedalaman mana yang layak mendapat resolusi halus. Kedua, kedalaman piksel bukan pusat bin pemenang, melainkan nilai harapan atas semua pusat bin dengan bo...","Evaluasi dilakukan pada tiga dataset. NYU Depth v2 memuat 654 citra uji dalam ruangan (resolusi 640 × 480, kedalaman maksimum 10 meter); model dilatih pada subset 50 ribu citra. KITTI memuat adegan luar ruangan dari kendaraan bergerak; pelatihan memakai ±26 ribu citra dan pengujian 697 citra menurut pemisahan Eigen, pada rentang 0–80 meter. SUN RGB-D (5.050 citra uji) hanya dipakai untuk uji silang tanpa penyetelan ulang. Metrik yang dipakai: akurasi amba...","Kutip dengan kunci `bhat2021adabins`. Ringkasan yang aman dikutip: ""AdaBins membagi rentang kedalaman menjadi bin yang lebarnya diprediksi secara adaptif per citra oleh modul Transformer, dan menghitung kedalaman piksel sebagai kombinasi linear pusat bin; metode ini melampaui keadaan seni pada NYU Depth v2 (δ1 = 0,903, AbsRel = 0,103) dan KITTI (δ1 = 0,964, AbsRel = 0,058) pada semua metrik standar."" Seluruh angka di bab ini diverifikasi dari naskah CVPR...","Kelebihan utama adalah adaptivitas tanpa asumsi geometris: berbeda dari BTS dan DAV, tidak ada asumsi planaritas yang dapat dilanggar adegan nyata. Regresi hibrida menghilangkan artefak diskretisasi metode bin tetap seperti DORN, pemrosesan global dilakukan pada resolusi tinggi, dan kode beserta bobot terlatih dirilis publik. Keterbatasannya: (1) metode ini *supervised* penuh dan membutuhkan kebenaran dasar kedalaman rapat, kontras dengan jalur *self-supe...","Transferable evidence for depth reliability, fusion, geometry, or de-duplication; requires TBS field validation.","1, 2",13 PDF pages; automatic locator scanned first 10
067,67_DPT (Dense Prediction Transformer).pdf,067 - 2021 - DPT (Dense Prediction Transformer) - Estimasi Kedalaman.md,ranftl2021dpt,Vision Transformers for Dense Prediction,2021,Estimasi Kedalaman,Computer-vision method or application,RGB,"Gagasan inti DPT adalah menukar encoder konvolusional dengan ViT, lalu memanfaatkan satu sifat Transformer yang selama ini dipandang sebagai hambatan: jumlah token tidak pernah berubah di sepanjang lapis. Karena setiap token berkorespondensi satu-satu dengan petak (*patch*) citra masukan, token dari lapis mana pun dapat dilipat kembali menjadi peta fitur pada resolusi petak. Peta ini kemudian dapat dinaikkan atau diturunkan resolusinya, sehingga piramida...","Eksperimen pertama adalah estimasi kedalaman monokular dengan protokol *zero-shot* lintas dataset dari MiDaS. Model dilatih pada MIX 6, meta-dataset gabungan sepuluh sumber data berisi sekitar 1,4 juta citra — kumpulan data pelatihan terbesar untuk tugas ini saat itu — memakai fungsi *loss* invarian terhadap skala dan pergeseran pada kedalaman invers, ditambah *gradient-matching loss* yang mencocokkan turunan spasial prediksi dengan kebenaran. Pelatihan b...","Kutip dengan kunci `ranftl2021dpt`. Ringkasan yang aman dikutip: ""DPT (Ranftl dkk., ICCV 2021) menjadikan Vision Transformer sebagai backbone prediksi padat dengan merakit token dari beberapa lapis menjadi peta fitur multi-resolusi yang digabung decoder konvolusi; pada estimasi kedalaman monokular *zero-shot* DPT memperbaiki kinerja relatif hingga 28% terhadap MiDaS, dan pada segmentasi semantik mencapai 49,02% mIoU pada ADE20K, keadaan terbaru saat rilis...",Kelebihan DPT bersifat langsung dari desainnya: prediksi lebih halus dan lebih koheren secara global karena tidak ada *downsampling* berjenjang dan setiap lapis melihat seluruh citra; arsitekturnya memetik manfaat besar dari data besar; satu kerangka yang sama melayani regresi (kedalaman) dan klasifikasi per piksel (segmentasi) dengan hanya mengganti head; ukuran masukan fleksibel; dan degradasi kinerja pada resolusi inferensi yang lebih tinggi lebih land...,Baseline or methodological evidence; requires TBS-specific validation.,"1, 2, 3",15 PDF pages; automatic locator scanned first 10
068,68_MiDaS (Robust Monocular Depth).pdf,068 - 2022 - MiDaS (Robust Monocular Depth) - Estimasi Kedalaman.md,ranftl2022midas,Towards Robust Monocular Depth Estimation: Mixing Datasets for Zero-Shot Cross-Dataset Transfer,2022 (praterbit arXiv 2019; diterima 2020),Estimasi Kedalaman,Depth estimation or depth-aware perception,RGB-D / depth-aware,"Pemecahannya berangkat dari satu pengamatan: untuk banyak penerapan, yang dibutuhkan bukan kedalaman metrik absolut, melainkan struktur kedalaman relatif yang benar (mana lebih dekat, seberapa kali lebih dekat). Bila target pelatihan cukup berupa kedalaman relatif, maka perbedaan skala dan pergeseran antar-*dataset* dapat dinetralkan sebelum galat dihitung. MiDaS memprediksi kedalaman dalam ruang disparitas (kebalikan kedalaman, d = 1/kedalaman), lalu men...","Protokol evaluasi adalah *zero-shot cross-dataset transfer*: model dilatih pada sumber-sumber di atas, lalu diuji pada enam *dataset* yang seluruhnya disisihkan dari pelatihan — DIW, ETH3D, Sintel, KITTI, NYU Depth v2, dan TUM-RGBD. Karena tak satu pun *dataset* uji ikut dilatih, kinerjanya mengukur generalisasi murni, bukan hafalan domain. Metrik disesuaikan dengan jenis kebenaran acuan tiap *dataset*. Untuk DIW yang hanya beranotasi urutan relatif dipak...","Kutip dengan kunci `ranftl2022midas`. Ringkasan yang aman dikutip: ""MiDaS melatih estimasi kedalaman monokular pada gabungan lima *dataset* heterogen memakai *scale-and-shift-invariant loss* di ruang disparitas, mencapai generalisasi *zero-shot* lintas domain terbaik pada masanya dan menjadi penyedia *pseudo-depth* yang banyak dipakai."" Fakta terverifikasi dari sumber primer: lima sumber pelatihan (ReDWeb, DIML, MegaDepth, WSVD, film 3D), enam *dataset* u...","Kelebihan utamanya adalah generalisasi lintas domain yang kokoh dari satu model tunggal, dicapai lewat mekanisme yang secara prinsip memungkinkan penggabungan *dataset* dengan anotasi tak sebanding. Rilis bobot terbuka membuat model langsung dapat dipakai, dan keluaran disparitas relatifnya cukup untuk banyak tugas hilir. Keterbatasan pokoknya melekat pada rumusan: karena galat pelatihan invarian terhadap skala dan pergeseran, keluaran MiDaS adalah kedala...","Transferable evidence for depth reliability, fusion, geometry, or de-duplication; requires TBS field validation.","1, 2",14 PDF pages; automatic locator scanned first 10
069,69_PackNet.pdf,069 - 2020 - PackNet - Estimasi Kedalaman.md,guizilini2020packnet,3D Packing for Self-Supervised Monocular Depth Estimation,2020,Estimasi Kedalaman,Depth estimation or depth-aware perception,RGB-D / depth-aware,"Gagasan inti PackNet adalah mengganti pembuangan informasi dengan pemadatan informasi. Alih-alih menurunkan resolusi dengan membuang piksel, blok *packing* memindahkan detail spasial ke dimensi kanal secara utuh melalui operasi *space-to-depth*, lalu memadatkannya dengan konvolusi 3D yang dipelajari. Di sisi dekoder, blok *unpacking* melakukan proses cermin: konvolusi 3D menyiarkan kembali informasi kanal ke ruang spasial melalui operasi *depth-to-space*....","Evaluasi mengikuti protokol Eigen dengan praproses Zhou dkk. (membuang *frame* statis dari data latih) pada KITTI. Metrik utama: AbsRel (*absolute relative error*, rata-rata selisih relatif terhadap ground truth, makin kecil makin baik), RMSE (akar rata-rata kuadrat galat dalam meter), dan δ<1,25 (persentase piksel dengan rasio prediksi/ground truth di bawah 1,25, makin besar makin baik). Angka berikut dari repositori resmi TRI-ML (resolusi masukan 192×64...","Kutip dengan kunci `guizilini2020packnet`. Ringkasan yang aman dikutip: ""PackNet melatih estimasi kedalaman monokular secara swa-awas dari video dengan blok packing/unpacking simetris berbasis konvolusi 3D yang mempertahankan detail spasial, serta supervisi kecepatan lemah yang memulihkan skala metrik; pada KITTI model ini mengungguli metode swa-awas dan sejumlah metode tersupervisi saat rilis, dan ikut merilis dataset DDAD dengan ground truth LiDAR berja...","Kelebihan: (1) detail spasial terjaga berkat pemadatan tanpa pembuangan informasi, terlihat dari perbaikan konsisten atas baseline ber-pooling; (2) skala metrik dari isyarat kecepatan menghapus kebutuhan penskalaan ground truth saat pengujian; (3) membaik dengan resolusi dan parameter, sehingga pengguna dapat menukar komputasi dengan akurasi; (4) tidak memerlukan pra-pelatihan ImageNet dan berjalan *real-time*; (5) DDAD menyediakan evaluasi jarak jauh yan...","Transferable evidence for depth reliability, fusion, geometry, or de-duplication; requires TBS field validation.","1, 2",13 PDF pages; automatic locator scanned first 10
070,70_MonoIndoor.pdf,070 - 2021 - MonoIndoor - Estimasi Kedalaman.md,ji2021monoindoor,MonoIndoor: Towards Good Practice of Self-Supervised Monocular Depth Estimation for Indoor Environments,2021,Estimasi Kedalaman,Depth estimation or depth-aware perception,RGB-D / depth-aware,"Gagasan pertama adalah **faktorisasi kedalaman**: peta kedalaman satu citra diuraikan menjadi dua faktor — satu skala global (satu angka untuk seluruh citra, misalnya ""ruangan ini berjarak maksimum 8 m"") dan satu peta kedalaman relatif (bentuk geometri ruangan tanpa skala absolut). Skala global diprediksi oleh cabang jaringan tersendiri, sehingga jaringan kedalaman utama tidak lagi dipaksa menebak skala absolut yang berubah-ubah; ia cukup mempelajari bent...","Evaluasi dilakukan pada tiga dataset dalam ruangan. EuRoC MAV berisi video wahana udara kecil di aula mesin dan ruang Vicon; pelatihan memakai lima sekuens (MH_01, MH_02, MH_04, V1_01, V1_02), pengujian pada sekuens V2_01. NYUv2 berisi 464 video ruangan dari kamera Kinect genggam; dipakai 302 sekuens latih (±20 ribu citra setelah penipisan bingkai) dan 654 citra uji resmi. 7-Scenes berisi tujuh ruangan; model dipra-latih pada NYUv2 lalu disetel halus. Met...","Kutip dengan kunci `ji2021monoindoor`. Ringkasan yang aman dikutip: ""MonoIndoor mengadaptasi estimasi kedalaman monokular swa-awas ke lingkungan dalam ruangan melalui dua modul — faktorisasi kedalaman yang memisahkan skala global dari kedalaman relatif, dan estimasi pose residual iteratif untuk rotasi besar — sehingga menurunkan AbsRel terhadap Monodepth2 dari 15,7% menjadi 12,5% pada EuRoC dan dari 16,0% menjadi 13,4% pada NYUv2."" Seluruh angka di bab in...","Kelebihannya: kedua modul menyerang penyebab kegagalan yang teridentifikasi jelas dan efektivitasnya dibuktikan ablasi terpisah; tidak ada data rotasi yang dibuang, berbeda dengan pendekatan rektifikasi; modul faktorisasi kedalaman menurut penulis bersifat agnostik terhadap jenis supervisi sehingga berpotensi dipakai pada metode tersupervisi; dan generalisasi lintas dataset terbukti pada 7-Scenes. Keterbatasannya: fenomena bahwa blok pose residual tambaha...","Transferable evidence for depth reliability, fusion, geometry, or de-duplication; requires TBS field validation.","1, 2",13 PDF pages; automatic locator scanned first 10
071,71_Depth Anything.pdf,071 - 2024 - Depth Anything - Estimasi Kedalaman.md,yang2024depthanything,Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data,2024,Estimasi Kedalaman,Depth estimation or depth-aware perception,RGB-D / depth-aware,"Gagasan intinya adalah memindahkan sumber skala dari ""lebih banyak label"" ke ""lebih banyak citra"". Citra monokular tanpa label tersedia hampir tanpa biaya, jauh lebih beragam, dan dapat dianotasi otomatis oleh model guru — model MDE memprediksi kedalaman dengan satu kali *forward pass*. Masalahnya, *self-training* naif (siswa meniru guru) tidak memberi gain dalam percobaan awal penulis. Dua strategi diusulkan. Pertama, siswa diberi target optimasi yang le...","Kemampuan *zero-shot* kedalaman relatif diuji pada enam dataset yang tidak pernah dilihat: KITTI, NYUv2, Sintel, DDAD, ETH3D, dan DIODE. Metriknya AbsRel (rata-rata galat relatif absolut, makin kecil makin baik) dan δ1 (persentase piksel dengan rasio prediksi terhadap kebenaran di bawah 1,25, makin besar makin baik). Pembandingnya model terkuat MiDaS v3.1. - Pada DDAD (berkendara otonom), AbsRel turun dari 0,251 menjadi 0,230 dan δ1 naik dari 0,766 menjad...","Kutip dengan kunci `yang2024depthanything`. Ringkasan yang aman dikutip: ""Depth Anything melatih model fondasi kedalaman monokular dengan menggabungkan 1,5 juta citra berlabel dan sekitar 62 juta citra tak-berlabel yang diberi *pseudo-label* otomatis; dua strategi kunci — target optimasi lebih sulit melalui distorsi kuat dan penyelarasan fitur ke DINOv2 — menjadikan modelnya unggul *zero-shot* atas MiDaS pada enam tolok ukur serta mencetak rekor kedalaman...","Kelebihannya: (1) generalisasi *zero-shot* terkuat pada masanya di enam tolok ukur, dicapai tanpa modul arsitektur baru — kontribusinya murni pada resep data dan pelatihan; (2) tiga ukuran model menutupi kebutuhan dari perangkat terbatas hingga akurasi maksimal; (3) encoder-nya berguna ganda untuk kedalaman metrik dan segmentasi; (4) *pipeline* anotasi otomatis dapat diskalakan nyaris tanpa batas. Keterbatasannya: (1) keluaran aslinya kedalaman relatif, s...","Transferable evidence for depth reliability, fusion, geometry, or de-duplication; requires TBS field validation.","1, 2",18 PDF pages; automatic locator scanned first 10
